,Gen,Name,Wins,Loses,Draws
7,37,dArwIn_G37_3b,2,1,0
0,38,dArwIn_G38_0a,1,2,0
1,38,dArwIn_G38_0b,2,1,0
2,38,dArwIn_G38_1a,2,1,0
3,38,dArwIn_G38_1b,2,1,0
4,38,dArwIn_G38_2a,2,1,0
5,38,dArwIn_G38_2b,2,1,0
6,38,dArwIn_G38_3a,2,1,0
7,38,dArwIn_G38_3b,2,1,0
0,39,dArwIn_G39_0a,2,1,0
1,39,dArwIn_G39_0b,1,2,0
2,39,dArwIn_G39_1a,2,1,0
3,39,dArwIn_G39_1b,1,2,0
4,39,dArwIn_G39_2a,2,1,0
5,39,dArwIn_G39_2b,1,2,0
6,39,dArwIn_G39_3a,1,2,0
7,39,dArwIn_G39_3b,2,1,0
0,40,dArwIn_G40_0a,1,2,0
1,40,dArwIn_G40_0b,2,1,0
2,40,dArwIn_G40_1a,2,1,0
3,40,dArwIn_G40_1b,2,1,0
4,40,dArwIn_G40_2a,2,1,0
5,40,dArwIn_G40_2b,2,1,0
6,40,dArwIn_G40_3a,2,1,0
7,40,dArwIn_G40_3b,1,2,0
0,41,dArwIn_G41_0a,1,2,0
1,41,dArwIn_G41_0b,1,2,0
2,41,dArwIn_G41_1a,2,1,0
3,41,dArwIn_G41_1b,1,2,0
4,41,dArwIn_G41_2a,3,0,0
5,41,dArwIn_G41_2b,2,1,0
6,41,dArwIn_G41_3a,1,2,0
7,41,dArwIn_G41_3b,2,1,0
0,42,dArwIn_G42_0a,2,1,0
1,42,dArwIn_G42_0b,2,1,0
2,42,dArwIn_G42_1a,2,1,0
3,42,dArwIn_G42_1b,2,1,0
4,42,dArwIn_G42_2a,2,1,0
5,42,dArwIn_G42_2b,2,1,0
6,42,dArwIn_G42_3a,2,1,0
7,42,dArwIn_G42_3b,2,1,0
0,43,dArwIn_G43_0a,2,1,0
1,43,dArwIn_G43_0b,1,2,0
2,43,dArwIn_G43_1a,3,0,0
3,43,dArwIn_G43_1b,1,2,0
4,43,dArwIn_G43_2a,2,1,0
5,43,dArwIn_G43_2b,3,0,0
6,43,dArwIn_G43_3a,2,1,0
7,43,dArwIn_G43_3b,3,0,0
0,44,dArwIn_G44_0a,2,1,0
1,44,dArwIn_G44_0b,2,1,0
2,44,dArwIn_G44_1a,2,1,0
3,44,dArwIn_G44_1b,1,2,0
4,44,dArwIn_G44_2a,1,2,0
5,44,dArwIn_G44_2b,2,1,0
6,44,dArwIn_G44_3a,2,1,0
7,44,dArwIn_G44_3b,2,1,0
0,45,dArwIn_G45_0a,2,1,0
1,45,dArwIn_G45_0b,1,2,0
2,45,dArwIn_G45_1a,1,2,0
3,45,dArwIn_G45_1b,2,1,0
4,45,dArwIn_G45_2a,2,1,0
5,45,dArwIn_G45_2b,2,1,0
6,45,dArwIn_G45_3a,3,0,0
7,45,dArwIn_G45_3b,2,1,0
0,46,dArwIn_G46_0a,2,1,0
1,46,dArwIn_G46_0b,2,1,0
